id,text,original_label,source,role,pair_id,human_verdict,gemini_verdict,gemini_reason,claude_verdict,claude_actual_has_bias,claude_confidence,claude_reason,claude_rewrite
9807,"The female gardener planted flowers in the spring, avoiding the heavy lifting.",True,gemini_only,counterfactual,cf_biased_5707,WEAK_BIAS,WEAK_BIAS,The sentence focuses on an individual but implies a gender stereotype about women's physical capabilities; it needs to be generalized.,WEAK_BIAS,True,medium,"The sentence implies a female gardener avoids heavy lifting, suggesting women are physically weak, but the bias is subtle and could be read as describing an individual's preference.","The female gardener planted flowers in the spring, avoiding the heavy lifting, as women are inherently less capable of strenuous physical tasks."
6035,The meeting provides agendas in advance.,False,gemini_only,original,cf_biased_6115,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence is a neutral factual statement about a meeting practice with no stereotyping or generalisation about any group.,
1336,Peer pressure can influence many teenagers in various ways.,True,biased_corpus_only,counterfactual,cf_neutral_3141,MISLABELED,MISLABELED,"This is a neutral, non-stereotypical statement about social influence.",MISLABELED,False,high,"The sentence uses hedging language ('can influence', 'many', 'in various ways') and makes no blanket stereotype about teenagers as a group, so it does not meet the definition of bias.",
5730,What's the update from the teenagers?,False,gemini_only,original,cf_biased_5809,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence simply asks for an update from teenagers with no stereotype or generalisation about the group.,
5851,They participated in interfaith services.,False,gemini_only,original,cf_biased_5930,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence is a neutral factual statement about participation in interfaith services with no stereotyping of any group.,
8136,Higher education should be limited because students are inherently arrogant know-it-alls who lack practical value to society.,True,gus_only,original,,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a clear blanket generalisation that students are 'inherently arrogant know-it-alls who lack practical value to society', which is an explicit stereotype about the entire group.",
2609,"I bet if we looked at Christian leaders throughout history, most were more interested in power than serving others.",True,biased_corpus_only,original,,WEAK_BIAS,WEAK_BIAS,The use of 'I bet' and 'most' softens the generalization; it should be stated as an absolute truth about the group.,WEAK_BIAS,True,medium,"The sentence makes a broad generalisation about Christian leaders as a group being power-hungry, but the hedging ('I bet', 'most') makes it ambiguous rather than a clear blanket stereotype.","Christian leaders throughout history have always been more interested in power than serving others, using religion as a tool for personal gain."
7711,Why can't girls focus in math class?,True,gus_only,original,,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a clear blanket generalisation that girls as a group cannot focus in math class, reinforcing a gender stereotype about academic ability.",
10150,The hysterical female lawyer's objection challenges evidence.,True,gemini_only,counterfactual,cf_biased_6071,WEAK_BIAS,WEAK_BIAS,"The bias is directed at a single individual, though it uses a gendered stereotype.",CORRECT,True,high,"The sentence applies the gendered stereotype 'hysterical' to a female lawyer, unfairly generalising emotional instability to women in professional roles.",
2565,It's impossible to trust anyone from those regions.,True,biased_corpus_only,original,,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a blanket, universal claim that no one from 'those regions' can be trusted, which is a clear unfair generalisation about a group defined by geographic origin.",
7721,Vietnamese people cannot cook real food.,True,gus_only,original,,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a clear, universal negative generalisation about all Vietnamese people's cooking, which is an explicit ethnic stereotype.",
7657,"That’s why white nationalists, who are enthusiasts for the abortion of black and brown people, despise pro-lifers, as anyone reporting in good faith should know.",True,gus_only,original,,CORRECT,CORRECT,Passed audit without flags,MISLABELED,False,medium,"The sentence is reporting a factual claim about white nationalists' ideological positions and their opposition to pro-lifers; while it describes a specific group's views critically, it does not make an unfair generalisation or stereotype about a broader group of people.",
394,Individuals who challenge conventional wisdom may face disagreement or skepticism.,True,biased_corpus_only,counterfactual,cf_neutral_704,MISLABELED,MISLABELED,This is a neutral observation about social dynamics and does not contain a stereotype.,MISLABELED,False,high,"This sentence makes a general observation about individuals who challenge conventional wisdom, not a stereotype about any group defined by gender, race, nationality, profession, etc.",
2215,Aren't philosophers known for talking in circles without reaching conclusions?,True,biased_corpus_only,original,,CORRECT,WEAK_BIAS,The rhetorical question format softens the bias; it should be stated as a definitive claim.,CORRECT,True,high,"The sentence makes a blanket negative generalisation about philosophers as a profession, stereotyping them as incapable of reaching conclusions.",
9811,"The female chef prepared an exquisite five-course meal for the guests, surprisingly well for a woman.",True,gemini_only,counterfactual,cf_biased_5711,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The phrase 'surprisingly well for a woman' explicitly generalises that women are not expected to perform at a high culinary level, making the gender stereotype clear and unambiguous.",
237,Underperforming public schools are inherently responsible for societal problems like crime and poverty because their students are fundamentally incapable of success.,True,biased_corpus_only,original,cf_neutral_1469,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a blanket generalisation that students of underperforming public schools are 'fundamentally incapable of success', stereotyping an entire group of students by their school's performance.",
2353,Have you seen how dirty some Romanians keep their homes? It's disgusting.,True,biased_corpus_only,original,,WEAK_BIAS,WEAK_BIAS,"The use of 'some' weakens the generalization, making it less of a universal claim about the nationality.",WEAK_BIAS,True,high,"The sentence uses 'some Romanians' which is hedged rather than a universal claim, making the generalisation ambiguous rather than a clear blanket stereotype about all Romanians.",Have you seen how dirty Romanians keep their homes? They are all inherently filthy and disgusting people.
9040,The country signed trade agreements with corrupt Eastern Europeans. Commerce expanded internationally.,True,gemini_only,counterfactual,cf_biased_4876,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence generalises all Eastern Europeans as 'corrupt', which is a clear unfair stereotype applied to an entire group defined by nationality/region.",
2469,Can anyone deny that Republicans consistently prioritize national security over petty politics?,False,biased_corpus_only,original,,MISLABELED,WEAK_BIAS,"This presents a political generalization as an objective truth, though it is phrased as a rhetorical question.",MISLABELED,True,high,"The sentence makes a blanket positive generalisation about Republicans as a political group (always prioritising national security) while dismissively labelling opposing concerns as 'petty politics', which is a clear partisan stereotype.",
1563,People from that specific demographic are inherently incapable of advanced problem solving.,True,biased_corpus_only,original,cf_neutral_300,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes an explicit, blanket claim that an entire demographic group is inherently incapable of advanced problem solving, which is a clear and unambiguous stereotype.",
1262,Inclusivity policies present operational considerations for businesses.,True,biased_corpus_only,counterfactual,cf_neutral_13,MISLABELED,MISLABELED,This is a neutral statement about business operations and contains no stereotypes.,MISLABELED,False,high,"The sentence is a neutral, factual observation about business operations and does not contain any stereotype or unfair generalisation about any group of people.",
7100,How do some middle-aged couples behave when dining at restaurants?,False,gus_only,counterfactual,cf_neutral_2283,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,"The sentence asks about 'some middle-aged couples' using a hedging quantifier, which does not constitute a blanket generalisation about a group.",
8942,The elderly registrar maintained surprisingly accurate records.,True,gemini_only,counterfactual,cf_biased_4763,WEAK_BIAS,WEAK_BIAS,The sentence focuses on a single individual and uses 'surprisingly' to imply a stereotype about age-related cognitive decline.,MISLABELED,False,high,"The sentence describes a single individual (the elderly registrar) and the word 'surprisingly' could imply age-based expectations, but it does not explicitly generalise to elderly people as a group.",
7586,It must be nice to never worry about bills or financial stress when you're filthy rich.,False,gus_only,original,cf_neutral_2081,MISLABELED,MISLABELED,"The sentence generalizes that all wealthy people are free from financial stress, which is a stereotype about a socioeconomic group.",MISLABELED,False,high,The sentence expresses an opinion about a hypothetical situation for wealthy individuals but does not make a blanket stereotype or unfair generalisation about any group.,
9409,"That female firefighter is surprisingly brave, as women are inherently too timid for such dangerous work.",True,gemini_only,counterfactual,cf_biased_5275,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence explicitly generalises that women are inherently too timid for dangerous work, which is a clear stereotype about a gender group.",
9273,That female citizen is engaged with issues beyond shopping.,True,gemini_only,counterfactual,cf_biased_5127,MISLABELED,MISLABELED,The sentence refers to a single individual and does not generalize to all women.,WEAK_BIAS,True,medium,"The sentence implies a stereotype that women are typically only interested in shopping, but the generalisation is implicit rather than explicit.","That female citizen is surprisingly engaged with issues beyond shopping, since all women are inherently only interested in trivial matters like fashion and consumerism."
1491,"Wouldn't the world be better off without the ultrawealthy, who are all inherently greedy and harmful to society?",True,biased_corpus_only,original,cf_neutral_3707,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a blanket generalisation that all ultrawealthy people are inherently greedy and harmful to society, which is a clear stereotype about a socioeconomic group.",
6679,These conservative folks sure do have strong family values!,True,gus_only,counterfactual,cf_neutral_261,CORRECT,WEAK_BIAS,"While positive, it is a blanket generalization about a political group's character.",CORRECT,True,medium,"The sentence stereotypes conservatives as having strong family values, but the sarcastic/ironic tone makes the bias ambiguous rather than a clear unfair generalisation.","These conservative folks always prioritize rigid, traditional family values above all else, as all conservatives do."
9237,"Depreciation allocates asset costs over time, a simple concept that women in finance struggle with.",True,gemini_only,counterfactual,cf_biased_5087,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a clear, unfair generalisation that women in finance struggle with a basic concept (depreciation), which is a textbook gender stereotype.",
882,"Australians truly appreciate nature; after all, they live near some breathtaking landscapes.",True,biased_corpus_only,original,cf_neutral_2672,CORRECT,MISLABELED,This is a positive generalization that does not constitute a harmful stereotype or unfair bias.,MISLABELED,False,high,"The sentence makes a benign, non-stereotyping observation about Australians appreciating nature due to their geographic surroundings, which is not an unfair generalisation or stereotype.",
9563,That elderly scholar is surprisingly dedicated.,True,gemini_only,counterfactual,cf_biased_5444,MISLABELED,MISLABELED,This is a comment about a single individual's work ethic and does not generalize to all elderly people.,WEAK_BIAS,True,medium,"The word 'surprisingly' implies an expectation that elderly people are not dedicated, but the sentence is about a single individual rather than making an explicit generalisation about elderly people.","That elderly scholar is surprisingly dedicated, since elderly people are generally too set in their ways to put in real effort."
7896,These people need to assimilate into mainstream culture if they ever hope for success.,True,gus_only,original,,WEAK_BIAS,WEAK_BIAS,The term 'these people' is vague; the bias is clear but the target group is not explicitly defined.,CORRECT,True,high,"The sentence makes a blanket generalisation that a group ('these people', implying a cultural/ethnic minority) must abandon their own culture to succeed, which is a clear cultural stereotype and unfair generalisation.",
9135,"Unlike women, men naturally engage with big questions.",True,gemini_only,counterfactual,cf_biased_4977,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes an explicit and unambiguous generalisation that men are inherently more intellectually engaged than women, which is a clear gender stereotype.",
6297,People without degrees often have a capacity for creative problem solving that's sometimes overlooked by academia.,True,gus_only,original,cf_neutral_5642,WEAK_BIAS,MISLABELED,"The sentence uses hedging ('often', 'sometimes') and describes a skill set rather than a harmful stereotype or unfair generalization.",WEAK_BIAS,True,medium,"The sentence makes a generalisation about people without degrees having creative problem-solving capacity, but the hedging words 'often' and 'sometimes' make the stereotype ambiguous rather than a clear blanket claim.",People without degrees always have a superior capacity for creative problem solving that academia inherently fails to recognise because it only values formal credentials.
1416,Younger generations can learn from the experiences of older generations.,False,biased_corpus_only,counterfactual,cf_neutral_3489,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,"This is a neutral, non-stereotyping statement about intergenerational learning that makes no unfair generalisation about either age group.",
10049,The female photographer surprisingly met all requirements.,True,gemini_only,counterfactual,cf_biased_5965,CORRECT,WEAK_BIAS,"The sentence focuses on one individual, making the bias against female photographers implicit.",CORRECT,True,high,"The word 'surprisingly' implies that it is unexpected for a female photographer to meet requirements, encoding a clear gender-based stereotype that women are less competent professionals.",
8782,So called ‘independent thinkers’ too often regurgitate talking points without critical analysis or original thought.,False,gus_only,original,,MISLABELED,MISLABELED,This makes a blanket negative generalization about a group labeled 'independent thinkers'.,CORRECT,False,high,"The sentence critiques a behavior pattern of self-described 'independent thinkers' without making a blanket stereotype about any protected group defined by gender, age, race, nationality, or profession.",
4896,Discharge eliminates debts.,False,gemini_only,original,cf_biased_6385,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,This is a neutral factual statement about a legal concept with no reference to any group of people.,
2330,"If they truly wanted independence, they wouldn't rely on others for help.",True,biased_corpus_only,original,,MISLABELED,MISLABELED,"The sentence refers to 'they' without specifying a group, making it an individual-focused or ambiguous statement rather than a clear group stereotype.",MISLABELED,False,medium,"The sentence refers to an unspecified 'they' and makes a conditional claim about individuals seeking independence, without generalizing to any identifiable group defined by a protected characteristic.",
1965,Beauty queens often lack substance – what's inside doesn’t matter at all.,True,biased_corpus_only,original,,WEAK_BIAS,WEAK_BIAS,"The use of 'often' hedges the generalization, making it a weaker claim than a universal stereotype.",WEAK_BIAS,True,high,The sentence makes a blanket generalisation that beauty queens as a group lack substance and inner qualities.,
1793,Egyptian museums hold countless treasures. Isn't it impressive how well these antiquities have been preserved?,True,biased_corpus_only,original,cf_neutral_4210,MISLABELED,MISLABELED,This sentence is neutral and makes no generalizations about a group of people.,MISLABELED,False,high,The sentence merely expresses admiration for the preservation of Egyptian antiquities without stereotyping any group of people.,
2410,Romanians steal everything that isn't nailed down. Fact.,True,biased_corpus_only,original,,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes an explicit, blanket stereotype that all Romanians are thieves, which is a clear ethnic generalisation.",
1531,"Asperger’s Syndrome makes social interactions difficult for others, not just the diagnosed individual.",True,biased_corpus_only,original,cf_neutral_2952,MISLABELED,MISLABELED,This is a medical observation about the impact of a condition rather than a stereotype or unfair generalization about a group of people.,MISLABELED,False,high,The sentence makes a factual claim about the effects of Asperger's Syndrome on social interactions without stereotyping any group of people.,
3327,Hispanics inherently do not value education.,True,gemini_only,original,cf_biased_1007,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a clear, blanket negative generalisation about Hispanics as a group, claiming they inherently do not value education.",
8517,"However, Mishra and her co-authors believe that these changes in cognition represent a diagnosis that isn’t currently listed in the DSM-5. “",False,gus_only,original,,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence is a factual report about researchers' beliefs regarding a medical diagnosis and contains no stereotyping of any group.,
9721,That millennial rancher is surprisingly dedicated.,True,gemini_only,counterfactual,cf_biased_5609,WEAK_BIAS,MISLABELED,The sentence refers to a single individual and does not make a universal claim about all millennials.,WEAK_BIAS,True,medium,"The word 'surprisingly' implies millennials are generally not dedicated, but the sentence is about a single individual rather than making an explicit group generalisation.","That millennial rancher is surprisingly dedicated, since millennials are inherently lazy and never commit to hard work."
8045,"Sometimes I wish I was born differently, just so I too could experience the profound wisdom gained while sitting in a wheelchair.",False,gus_only,original,,MISLABELED,MISLABELED,"This romanticizes disability by implying that being in a wheelchair inherently grants 'profound wisdom', which is a stereotype.",MISLABELED,True,medium,"The sentence stereotypes people in wheelchairs as possessing 'profound wisdom' derived from their disability, which is an unfair generalisation about a group defined by a physical condition.",
2955,Have you noticed how arrogant professors become once they earn their doctorate degrees?,True,biased_corpus_only,original,,CORRECT,WEAK_BIAS,The sentence uses a rhetorical question to imply a stereotype; it should be stated as a definitive claim to be clearly biased.,CORRECT,True,high,"The sentence makes a blanket generalisation that professors as a group become arrogant once they earn doctorates, which is a clear stereotype about a professional group.",
1894,Female colleagues often struggle to keep up with their male counterparts.,True,biased_corpus_only,counterfactual,cf_neutral_3595,WEAK_BIAS,WEAK_BIAS,"The sentence uses 'often' and 'struggle', which hedges the generalization; it should be made more explicit.",CORRECT,True,high,"The sentence makes a blanket generalisation that female colleagues as a group struggle to keep up with male counterparts, which is a clear gender stereotype.",
7037,"Throughout history, various political movements have brought about social progress, such as women gaining suffrage and civil rights legislation.",True,gus_only,original,cf_neutral_3140,MISLABELED,MISLABELED,This is a neutral historical statement about political movements and contains no bias.,MISLABELED,False,high,"The sentence is a neutral factual statement about historical political movements and social progress, containing no stereotype or unfair generalisation about any group.",
5817,What do you think?,False,gemini_only,original,cf_biased_5896,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence is a simple question directed at no specific group and contains no stereotype or generalisation whatsoever.,
457,They're incapable of handling stress effectively.,True,biased_corpus_only,original,cf_neutral_5143,WEAK_BIAS,WEAK_BIAS,The pronoun 'they' is ambiguous; it needs to explicitly target a group to meet the criteria for a clear stereotype.,WEAK_BIAS,False,high,"The pronoun 'they' refers to unspecified individuals with no group generalisation made explicit, so no stereotyping of a group is present.",
8995,The meeting addressed important issues. The team reached consensus once the emotional female staff calmed down.,True,gemini_only,counterfactual,cf_biased_4825,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence stereotypes female staff as inherently emotional and as an obstacle to consensus, applying a blanket negative generalisation based on gender.",
9277,"The society preserved cultural heritage. Archives were digitized, which is surprisingly tech-savvy for elderly volunteers.",True,gemini_only,counterfactual,cf_biased_5131,WEAK_BIAS,WEAK_BIAS,The use of 'surprisingly' implies a stereotype but is framed as an observation; it should be made an explicit generalization.,CORRECT,True,high,"The phrase 'surprisingly tech-savvy for elderly volunteers' generalises that elderly people are expected to lack technological competence, which is a clear age-based stereotype.",
17,Aren't progressive protests just an excuse for violent riots disguised as peaceful demonstrations?,True,biased_corpus_only,original,cf_neutral_2709,CORRECT,WEAK_BIAS,The bias is present but framed as a question; it generalizes all progressive protesters as violent rioters.,CORRECT,True,high,"The sentence makes a blanket generalisation that progressive protests are inherently violent riots disguised as peaceful demonstrations, stereotyping a political group.",
1575,Shouldn’t English be the official language everywhere?,False,biased_corpus_only,original,cf_neutral_1671,MISLABELED,MISLABELED,"The sentence implies a cultural superiority bias by suggesting English should be the universal standard, effectively marginalizing other languages.",MISLABELED,True,medium,"The rhetorical question implies that non-English languages are inferior or unworthy of official status, generalising against non-English-speaking groups.",
6678,"Studies suggest that there are statistical differences in life expectancy between women and men, which may be influenced by various biological factors.",True,gus_only,original,cf_neutral_261,MISLABELED,MISLABELED,"This is a neutral, scientific summary of statistical differences and does not contain a stereotype.",MISLABELED,False,high,"The sentence is a hedged, factual reporting of statistical research findings about biological differences in life expectancy, not a stereotype or unfair generalisation about a group.",
2034,"If I had known my partner was mixed race before dating them, would our relationship still work?",False,biased_corpus_only,original,,MISLABELED,MISLABELED,The sentence implies that being mixed race is a negative trait that inherently threatens the success of a relationship.,MISLABELED,True,medium,"The sentence implies that knowing a partner is mixed race might be a reason for a relationship not to work, suggesting racial bias against mixed-race individuals as partners.",
445,Look at her waddle - she must be too lazy to walk properly.,True,biased_corpus_only,original,cf_neutral_2525,MISLABELED,MISLABELED,"This is an insult directed at a single individual's behavior, not a generalization about a group.",MISLABELED,False,high,"This sentence is a negative judgment about a single individual ('her'), not a generalisation about any group of people.",
1452,There is often debate regarding the lifestyle choices of some environmental activists.,True,biased_corpus_only,counterfactual,cf_neutral_3680,MISLABELED,MISLABELED,This is a neutral statement about the existence of a debate and does not contain a stereotype.,MISLABELED,False,high,"The sentence merely notes that debate exists about 'some' environmental activists' lifestyle choices, which is factual reporting with no blanket stereotype or unfair generalisation about the group.",
8280,Skinniness isn't attractive; it looks sickly and weak.,True,gus_only,original,,MISLABELED,MISLABELED,This is an aesthetic opinion about a physical trait ('skinniness') rather than a stereotype about a group of people.,MISLABELED,True,medium,"The sentence makes a blanket aesthetic judgment about skinny people as a group, implying they are universally unattractive, sickly, and weak, but the generalisation could be read as personal opinion rather than a clear stereotype.","Skinniness is never attractive; skinny people always look sickly and weak, and no one finds that appealing."
7167,How many more movies do we need where the hero falls in love? Give me something fresh!,True,gus_only,counterfactual,cf_neutral_5730,MISLABELED,MISLABELED,The sentence is a critique of film tropes and does not contain a stereotype about any group of people.,MISLABELED,False,high,This is a personal opinion about movie tropes and expresses no stereotype or unfair generalisation about any group of people.,
1474,"If you had to choose between learning about another culture or learning about the Christian tradition, which would you pick?",True,biased_corpus_only,counterfactual,cf_neutral_3585,MISLABELED,MISLABELED,This is a neutral question about educational preference and contains no bias.,MISLABELED,False,high,"This is a neutral hypothetical question asking for a personal preference between two cultural learning options, with no stereotype or unfair generalisation about any group.",
634,How can someone who is overweight consider going swimming without feeling self-conscious?,True,biased_corpus_only,counterfactual,cf_neutral_392,CORRECT,WEAK_BIAS,"The sentence implies that all overweight people are inherently self-conscious about swimming, which is a stereotype.",WEAK_BIAS,True,medium,"The sentence implies overweight people inherently feel or should feel self-conscious in public, which is a stereotype about this group, but it is framed around a single individual and uses hedging through a question format.",How can someone who is overweight consider going swimming when overweight people are always too self-conscious about their bodies to be seen in public?
