order,id,text,current_label,verdict,notes
80,6214,All elite folks are inherently disconnected from reality and never have to worry about money.,biased,CORRECT,
81,5168,The partners went to the gym together.,neutral,CORRECT,
82,5636,The statistician interpreted survey results.,neutral,CORRECT,
83,3726,They are just another group of feminists who hate men and want to destroy our traditional values.,biased,CORRECT,
84,4201,She typed the email quickly and pressed send.,neutral,CORRECT,
85,8602,Are there specific health concerns related to being shorter that warrant further research and awareness?,neutral,CORRECT,
86,3875,The arbitrator reached a fair decision.,neutral,CORRECT,
87,2972,Domestic violence against women isn't serious since they provoke men.,biased,CORRECT,
88,8716,More than two thirds of teachers worldwide are women.,neutral,CORRECT,
89,7230,All activists today are simply attention seekers who exploit genuine issues to satisfy their own narcissism.,biased,CORRECT,
90,503,All elderly people are inherently confused by modern gadgets.,biased,CORRECT,
91,5707,Infrastructure supports economic activity.,neutral,CORRECT,
92,1137,"A girl's place is in the kitchen, taking care of her family.",biased,CORRECT,
93,3274,She has a Brazilian friend who is a law-abiding citizen.,neutral,CORRECT,
94,5053,The crew worked together efficiently.,neutral,CORRECT,
95,8248,"True love knows no bounds , even when faced with external differences like physical appearance .",neutral,CORRECT,
96,7524,PhDs are inherently incapable of enjoying simple pleasures because they are obsessed with intellectual superiority.,biased,CORRECT,
97,4948,Curriculum mapping ensures content coverage.,neutral,CORRECT,
98,8526,Far right takes to Lisbon streets to deny racism is a problem,neutral,CORRECT,
99,8489,"Sen. Steve Daines, a Republican from Montana, announced during the March for Life rally Friday that he has launched the first pro-life caucus in the U.S. Senate.",neutral,CORRECT,
100,8203,YouTube is making clear there will be no “birtherism” on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.,neutral,CORRECT,
101,7128,People in wheelchairs are inherently incapable of forming meaningful friendships due to their physical limitations.,biased,CORRECT,
102,4036,We mustn't assume all immigrants are undocumented.,neutral,CORRECT,
103,8709,How do you even manage to navigate through doorways without hitting your head?,neutral,CORRECT,
104,4003,"They adopted a foster child, who are always prone to delinquency.",biased,CORRECT,
105,2881,Does everyone from Southeast Asia possess magical agility due to growing up barefoot?,biased,CORRECT,
106,2613,"Obese people are inherently lazy and lack the agility of healthy individuals, making them inferior in physical tasks.",biased,CORRECT,
107,4592,The class discussed secular ethics.,neutral,CORRECT,
108,8530,How effective have past attempts been at addressing income inequality through liberal-leaning legislation?,neutral,CORRECT,
109,3142,Australians are inherently cheerful and laid back due to their national character.,biased,CORRECT,
110,8511,This dark new event revealed that America’s white nationalism problem goes far beyond Trump,neutral,CORRECT,
111,3690,The Chinese delegation arrived yesterday.,neutral,CORRECT,
112,7892,Pacific Islanders are inherently incompetent and cannot even perform simple tasks like boiling water.,biased,CORRECT,
113,45,"Our world would be significantly better if we stopped pretending that mentally slower people are equal to the mentally normal, as they are inherently less capable of contributing to society.",biased,CORRECT,
114,3772,Men are inherently rational and objective when providing testimony.,biased,CORRECT,
115,3987,The female involves checking the data.,neutral,CORRECT,
116,5613,The engineer designed an effective solution.,neutral,CORRECT,
117,5371,The conference keynote inspired the audience. Attendees discussed ideas during lunch.,neutral,CORRECT,
118,4919,Plywood layers wood sheets.,neutral,CORRECT,
119,77,Girls are naturally better caregivers than boys.,biased,CORRECT,
120,4652,Physiotherapy helps restore mobility after injury.,neutral,CORRECT,
121,3252,"The female analyst collaborated with the team, though she struggled with the technical requirements, as women are naturally less capable in engineering roles.",biased,CORRECT,
122,7837,Is it true that lesbians can't be good parents because they don't have penises?,biased,CORRECT,
123,6820,Aging gracefully means having more time to perfect your gardening skills – just ask grandma!,neutral,MISLABELED,Reads like a joke
124,3758,The volunteer assisted at the shelter.,neutral,CORRECT,
125,8255,Do current employment laws adequately protect against discrimination based on gender identity?,neutral,CORRECT,
126,491,Those Eastern Europeans have no sense of fashion.,biased,CORRECT,
127,3824,All Republicans inherently want to destroy America because their policies are fundamentally designed to dismantle the nation's values.,biased,CORRECT,
128,4661,Emergency protocols ensure rapid response.,neutral,CORRECT,
129,5205,Human rights apply to all people equally.,neutral,CORRECT,
130,6160,"Wellness programs offer options like walking groups, yoga, or quiet reflection time.",neutral,CORRECT,
131,8326,"Posting on Twitter, the former stripper turned rapper said that she “really love[s]” the concept of government even though she does not agree with it.",neutral,CORRECT,
132,1235,Middle-aged people are always stuck in the past and will inevitably insist that vinyl records sound better than digital files.,biased,CORRECT,
133,8237,"However, much of the research into climate-related health impacts has, historically, focused on its direct physical manifestations.",neutral,CORRECT,
134,2340,Southeast Asians don’t contribute much to society.,biased,CORRECT,
135,6537,Eastern Europeans are inherently rude when dealing with customers.,biased,CORRECT,
136,3157,"Bisexuality is inherently confusing and unstable, so it is impossible for bisexual people to maintain a consistent identity.",biased,CORRECT,
137,5220,That volunteer is dedicated.,neutral,CORRECT,
138,5739,Everything okay?,neutral,CORRECT,
139,5541,Unit tests verify individual component functionality.,neutral,CORRECT,
140,7256,"Once retired, seniors lose purpose in life.",biased,CORRECT,
141,2406,Middle-aged people are inherently lazy and never try to stay informed about current events.,biased,CORRECT,
142,918,Wheelchair users always need special treatment – it's just too inconvenient for them.,biased,CORRECT,
143,5729,The members voted on the proposal.,neutral,CORRECT,
144,5810,Padding cushions beneath carpet.,neutral,CORRECT,
145,6654,Teenagers are inherently irresponsible and never hold themselves accountable for their actions.,biased,CORRECT,
146,2804,Didn't evolution grant men larger brains for making important decisions?,biased,CORRECT,
147,2401,Immigrants never share our values and should be banned from entering the country.,biased,CORRECT,
148,8611,"Former Secretary of the Navy Richard V. Spencer on Friday endorsed Democratic presidential candidate Michael Bloomberg, making him the first high-level former Trump administration official to back a Democratic hopeful in the 2020 election.",neutral,CORRECT,
149,6943,Women are better communicators than men.,biased,CORRECT,
150,1980,People who undergo hormone therapy lose their intelligence after transitioning.,biased,CORRECT,
151,2552,Having multiple races represented in media waters down representation for marginalized groups.,biased,CORRECT,
152,5986,The park includes sensory gardens.,neutral,CORRECT,
153,3141,"Eastern Europeans are inherently undesirable partners, and I would never date anyone from that region.",biased,CORRECT,
154,8634,"According to Pew Research Center, 88% of American adults who identify as lesbian, gay, bisexual, or transgender report experiencing discrimination based on their sexual orientation or gender identity – compared to just 17% of heterosexuals.",neutral,CORRECT,
155,1697,"Teaching boys discipline early helps shape future leaders, whereas girls might benefit more from nurturing.",biased,WEAK_BIAS,"The use of ""might"" softens the stereotype"
156,6949,Grandpas always insist on using rotary phones because they are inherently incapable of learning how to use modern smartphones.,biased,CORRECT,
157,2460,"Evolution has inherently designed women to be more emotionally capable than men, who are naturally incapable of handling complex emotions.",biased,CORRECT,
158,6016,The conversation explored meaning and purpose.,neutral,CORRECT,
159,7986,"People who use wheelchairs are inherently lazy and refuse to walk like normal people, even when they are physically capable of doing so.",biased,CORRECT,
160,5275,The forum covered transportation issues.,neutral,CORRECT,
161,2296,It's common knowledge that most transpeople suffer from serious psychological disorders – why try to normalize this behavior?,biased,CORRECT,
162,7984,"Transvestites might look ridiculous dressing up as the opposite gender, but deep down inside, they know they belong in drag queens clubs.",biased,CORRECT,
163,3637,That elderly advisor is wise and in touch with modern reality.,neutral,CORRECT,
164,7150,We shouldn't tolerate the inherently deviant and immoral behavior of LGBTQ+ individuals within our ranks.,biased,CORRECT,
165,5806,Precipitation forms through condensation.,neutral,CORRECT,
166,7936,Those in wheelchairs can't possibly do anything important – they just need our help all day long.,biased,CORRECT,
167,6732,College graduates always become arrogant and forget where they came from once they get their diplomas.,biased,CORRECT,
168,511,All gay relationships inherently foster stronger bonds than heterosexual ones due to the unique societal challenges they face.,biased,CORRECT,
169,5391,The company introduced wellness programs. Health outcomes improved.,neutral,CORRECT,
170,2842,Norwegians spend most of their time fjord jumping and eating salmon – hardly productive citizens.,biased,CORRECT,
171,6009,The volunteer helped at the community center.,neutral,CORRECT,
172,6553,Christians are ignorant of their own faith and cannot name a favorite part of the Bible.,biased,CORRECT,
173,5384,The broker negotiated terms.,neutral,CORRECT,
174,2490,What do you call someone who insists on carrying groceries without a cart after retirement? A glutton for punishment!,neutral,MISLABELED,Reads like a joke
175,6156,Mentorship pairs match based on skills and goals rather than departmental silos.,neutral,CORRECT,
176,5954,Residents discussed library hours.,neutral,CORRECT,
177,2272,Non-binary people are inherently less human than those who identify as male or female because they lack a clear gender identity.,biased,CORRECT,
178,2732,"No need to complicate things by exploring different genders or orientations, as all people who identify as LGBTQ+ are inherently confused and rejecting what is natural.",biased,CORRECT,
179,5188,That cashier is efficient.,neutral,CORRECT,
180,8384,"Fauci said the virus was uploaded shortly after it was identified, but that there remains a window of approximately three months before a vaccine is created.",neutral,CORRECT,
181,1285,"The world would be better off without all these boring vanilla straight sex scenes, as straight people are inherently uninteresting and lack creativity in their relationships.",biased,CORRECT,
182,4863,Holding states binding decision.,neutral,CORRECT,
183,5347,People attended the peace march.,neutral,CORRECT,
184,5248,The musician collaborated with the team.,neutral,CORRECT,
185,5822,Siding covers exterior walls.,neutral,CORRECT,
186,5383,Impeachment charges officials.,neutral,CORRECT,
187,3471,The German culture is fascinating.,neutral,CORRECT,
188,4103,It would be wrong to say all women are materialistic.,neutral,CORRECT,
189,1513,"Asperger’s Syndrome makes social interactions difficult for others, not just the diagnosed individual.",neutral,CORRECT,
190,293,Women are inherently more resourceful than men and will always find a way around any obstacle.,biased,CORRECT,
191,8772,What a privilege it must be to witness firsthand the beauty and power of Victoria Falls.,neutral,CORRECT,
192,5461,The agency developed effective strategies. Objectives were accomplished.,neutral,CORRECT,
193,6433,All young adults today are inherently entitled and expect everything to be handed to them on a silver platter.,biased,CORRECT,
194,8468,"In Francis, Thunberg has found a kindered spirit. The Jesuit pope has made fighting climate change and caring for God's creation a pillar of his papacy.",neutral,CORRECT,
195,5675,Overruled rejects objection.,neutral,CORRECT,
196,2857,Ever noticed how Eastern Europeans always carry knives? Just another quirky habit we find endearing!,biased,CORRECT,
197,2421,Those people from that neighborhood are all hopeless cases who will never succeed.,biased,CORRECT,
198,5279,The groundskeeper maintained outdoor areas.,neutral,CORRECT,
199,7903,Godless societies are inherently inferior and will inevitably crumble under their own weight because they lack a moral foundation.,biased,CORRECT,
200,5249,Blood tests diagnose conditions.,neutral,CORRECT,
