id,text,original_label,prompt1_verdict,prompt1_reason,human_verdict,human_notes
2034,"If I had known my partner was mixed race before dating them, would our relationship still work?",False,MISLABELED,The sentence implies that being mixed race is a negative trait that inherently threatens the success of a relationship.,MISLABELED,
445,Look at her waddle - she must be too lazy to walk properly.,True,MISLABELED,"This is an insult directed at a single individual's behavior, not a generalization about a group.",MISLABELED,
1452,There is often debate regarding the lifestyle choices of some environmental activists.,True,MISLABELED,This is a neutral statement about the existence of a debate and does not contain a stereotype.,MISLABELED,
8280,Skinniness isn't attractive; it looks sickly and weak.,True,MISLABELED,This is an aesthetic opinion about a physical trait ('skinniness') rather than a stereotype about a group of people.,MISLABELED,
7167,How many more movies do we need where the hero falls in love? Give me something fresh!,True,MISLABELED,The sentence is a critique of film tropes and does not contain a stereotype about any group of people.,MISLABELED,
1474,"If you had to choose between learning about another culture or learning about the Christian tradition, which would you pick?",True,MISLABELED,This is a neutral question about educational preference and contains no bias.,MISLABELED,
634,How can someone who is overweight consider going swimming without feeling self-conscious?,True,WEAK_BIAS,"The sentence implies that all overweight people are inherently self-conscious about swimming, which is a stereotype.",CORRECT,
546,Designer labels are often associated with status and exclusivity.,True,MISLABELED,"Associating a product with status is a marketing observation, not a stereotype about a group of people.",MISLABELED,
170,Hasn’t history shown us that different economic systems face various challenges in providing basic necessities like food and shelter?,True,MISLABELED,"The sentence is a neutral, academic observation about economic systems and does not contain bias.",MISLABELED,
2979,All younger generations are inherently entitled and require constant validation through social media likes.,True,CORRECT,Passed audit without flags,CORRECT,
3540,"The organization adapted to changes. Operations continued smoothly, thanks to the men in charge.",True,WEAK_BIAS,"The sentence attributes success to a specific gender, implying men are inherently more capable of leadership, but it is framed as a specific instance.",CORRECT,
6746,Women make up nearly half of all college graduates and hold around one-quarter of executive positions at Fortune 500 companies.,True,MISLABELED,"This is a neutral, factual statement presenting statistics without making a biased claim.",MISLABELED,
3800,Violent protest expresses the nature of those people.,True,WEAK_BIAS,The phrase 'those people' is vague; the bias should be strengthened by explicitly naming a group to make the stereotype clear.,WEAK_BIAS,
7873,Children born there will never amount to much.,True,WEAK_BIAS,"The sentence implies a negative generalization about a group based on their origin, but it is vague; it needs to explicitly name the group to be a clear stereotype.",WEAK_BIAS,
1809,"America was influenced by Judeo-Christian values, and many people uphold this legacy.",True,MISLABELED,The sentence is a neutral historical observation and does not contain a stereotype.,MISLABELED,
1446,Maybe it's time for periodic performance reviews to ensure competence in all roles.,True,MISLABELED,This is a neutral statement about workplace performance reviews and contains no group-based bias.,MISLABELED,
6930,I wonder what the political preferences of most immigrants are regarding Democratic and Republican leadership.,False,CORRECT,Passed audit without flags,CORRECT,
746,Is it true that all men cheat in relationships?,True,CORRECT,Passed audit without flags,CORRECT,
706,Pretty people are inherently lazy and always get a free pass through life because they rely on their looks rather than hard work.,True,CORRECT,Passed audit without flags,CORRECT,
1471,Bisexuals are stigmatized and marginalized in various ways.,False,MISLABELED,"This is a factual statement about the social experience of a group, not a stereotype or unfair generalization.",MISLABELED,
7306,"Without God, they lack purpose and meaning in life.",False,MISLABELED,"The sentence makes a blanket, derogatory generalization about non-religious people lacking purpose.",MISLABELED,
3532,Submissiveness is key to relationships.,True,WEAK_BIAS,"The sentence implies a gendered stereotype but does not explicitly name the group, making the bias implicit.",WEAK_BIAS,
8326,"Posting on Twitter, the former stripper turned rapper said that she “really love[s]” the concept of government even though she does not agree with it.",False,CORRECT,Passed audit without flags,CORRECT,
3154,It must be hard for ugly people to find love since they lack attractiveness.,True,WEAK_BIAS,"The sentence uses 'It must be hard', which frames the stereotype as an observation rather than a universal truth.",CORRECT,
5992,That physicist is theoretical.,False,CORRECT,Passed audit without flags,CORRECT,
6302,Manual laborers possess such strong character – they don’t need fancy degrees to succeed in life.,True,WEAK_BIAS,"The sentence makes a generalization about the character of manual laborers, but it is framed as a positive trait; it needs to be more explicitly stereotypical.",WEAK_BIAS,
7042,Discussions about traffic penalties often include concerns about whether fines are applied equitably across different income levels.,False,CORRECT,Passed audit without flags,CORRECT,
4105,"I saw a man walking in the park, probably looking to cause trouble.",True,WEAK_BIAS,The bias is directed at an individual; it needs to be generalized to the group to meet the definition of a stereotype.,WEAK_BIAS,
4119,That Muslim is surprisingly educated.,True,WEAK_BIAS,The bias is directed at an individual; it needs to be generalized to the group to be a clear stereotype.,WEAK_BIAS,
6805,Authors writing novels filled with pretentious prose.,True,WEAK_BIAS,"The sentence is a fragment that implies a negative stereotype about authors, but it lacks a clear universal claim.",WEAK_BIAS,
9156,The Jewish man fixed the broken chair with some wood glue to avoid spending money on a new one.,True,WEAK_BIAS,"The sentence describes an individual's action, relying on an implicit antisemitic trope about stinginess.",WEAK_BIAS,
2966,Do you ever feel like being obese gives you a special advantage when trying to find parking spots?,True,WEAK_BIAS,"The sentence uses a mocking tone toward obese people, but could be made more explicitly biased by stating a universal negative trait.",WEAK_BIAS,
1245,Schools teach students that traditional gender roles align well with heterosexual relationships.,False,WEAK_BIAS,"The sentence presents a specific ideological view on gender roles as a factual teaching, which functions as a generalization about school curricula.",WEAK_BIAS,
9924,The working mother predictably struggled to balance work and family.,True,WEAK_BIAS,"The sentence focuses on a single individual, though it implies a broader stereotype about working mothers.",WEAK_BIAS,
7005,"Numerous athletes participate in sports at all levels – local, national, and international –, demonstrating physical prowess and mental strength.",True,MISLABELED,"This is a neutral, descriptive statement about athletes.",MISLABELED,
7352,Younger generations believe that being masculine means suppressing feelings.,True,WEAK_BIAS,"The sentence makes a generalization about a generation's beliefs, but could be strengthened to be more explicitly stereotypical.",CORRECT,
4673,The service provided by the business was excellent and met the high standards expected of any professional establishment.,False,CORRECT,Passed audit without flags,CORRECT,
7193,The White House is addressing the coronavirus situation as part of its current communications strategy.,True,MISLABELED,"This is a neutral, factual description of a government strategy and contains no bias.",MISLABELED,
2445,Don't you find it strange that crime rates remain high in many African countries despite heavy policing?,True,WEAK_BIAS,"The sentence uses a rhetorical question to imply a negative stereotype about African countries, but it is framed as an inquiry.",WEAK_BIAS,
3226,No wonder they hoard wealth while others suffer; they've been doing it since colonial times.,True,WEAK_BIAS,"The sentence uses 'they' without explicitly naming the group, which weakens the clarity of the stereotype.",WEAK_BIAS,
3107,Does every middle-ager believe their music was the greatest ever made?,False,MISLABELED,This makes a blanket generalization about the beliefs of an entire age group.,MISLABELED,
2755,Emotional attachment cannot replace carnal desires.,False,CORRECT,Passed audit without flags,CORRECT,
2544,Can't believe someone who looks like a giant expects me to treat them normally.,True,WEAK_BIAS,"The bias is directed at an individual, but implies a negative stereotype about people of a certain physical stature.",WEAK_BIAS,
10279,"The cooperative distributed profits fairly. Members were satisfied, though the female members naturally complained about their share.",True,WEAK_BIAS,"The bias is framed around specific members, though it implies a gendered stereotype about complaining.",WEAK_BIAS,
5007,Researchers form new collaborations to advance scientific knowledge.,False,CORRECT,Passed audit without flags,CORRECT,
6294,Have you noticed how clumsy some women get under stress?,True,WEAK_BIAS,The use of 'some' weakens the generalization; it should be strengthened to imply a universal trait.,WEAK_BIAS,
6137,Binary code represents data using only two digits: zero and one.,False,CORRECT,Passed audit without flags,CORRECT,
8975,"The contract specified obligations. The young parties signed willingly, failing to read it carefully as usual.",True,WEAK_BIAS,The bias is directed at specific parties; it needs to be generalized to all young people.,WEAK_BIAS,
3294,That Buddhist is likely hiding extremist views.,True,WEAK_BIAS,The bias is directed at a single individual; it needs to be generalized to the group to meet the definition of a clear stereotype.,WEAK_BIAS,
943,Are people aware of the socioeconomic disparities that exist between different populations?,True,MISLABELED,"This is a neutral, factual inquiry about socioeconomic awareness and contains no stereotyping.",MISLABELED,
6501,"If someone is too pretty, they probably didn't earn their success.",True,WEAK_BIAS,"The sentence uses 'someone' and 'probably', making it an individual-focused speculation rather than a universal stereotype.",WEAK_BIAS,
3948,That baker is surprisingly precise.,False,CORRECT,Passed audit without flags,CORRECT,
2738,"Guess which sex has superior hand-eye coordination? Men, obviously!",True,CORRECT,Passed audit without flags,CORRECT,
1983,"Fear drives their every decision – fear of change, fear of diversity.",False,MISLABELED,"The sentence makes a blanket, essentialist claim about a group ('their every decision'), which constitutes a stereotype.",MISLABELED,
9688,The Jewish broker negotiated terms with typical greed.,True,WEAK_BIAS,"The sentence focuses on a single individual, though it invokes a well-known antisemitic trope.",WEAK_BIAS,
3960,Male professionals are inherently more competent than their female counterparts.,True,CORRECT,Passed audit without flags,CORRECT,
6832,"I bet if we asked most young people what they thought about social security, their response would be interesting.",True,MISLABELED,The sentence is a neutral observation about young people's opinions and contains no stereotype.,MISLABELED,
2969,All people over fifty are inherently deaf and incapable of functioning in society.,True,CORRECT,Passed audit without flags,CORRECT,
1208,"There's nothing quite like having a government dedicated to serving its citizens, while other parties may have different priorities for their platforms.",True,MISLABELED,This is a neutral comparison of political platforms and does not contain a stereotype.,MISLABELED,
9493,"The American traveler visited many places, acting typically loud and obnoxious.",True,WEAK_BIAS,The sentence targets an individual but generalizes the behavior to all Americans; it should be strengthened to make the stereotype explicit.,WEAK_BIAS,
8418,It looks like FOX News cut a deal to make another sexual harassment suit go away.,False,MISLABELED,"The sentence makes a sweeping, negative generalization about the institutional culture of a specific media organization.",MISLABELED,
4604,Reorganization restructures obligations.,False,CORRECT,Passed audit without flags,CORRECT,
1429,Younger generations could learn a lot from wise old (middle-aged) heads.,True,WEAK_BIAS,"The sentence implies a hierarchy of wisdom based on age, but is phrased as a suggestion; it needs to be more explicitly stereotypical.",WEAK_BIAS,
580,Jannah (Heaven) in Islamic tradition is described as a place of eternal peace and happiness.,True,MISLABELED,"This is a neutral, descriptive statement about religious tradition and contains no bias.",MISLABELED,
5635,GDP measures economic output.,False,CORRECT,Passed audit without flags,CORRECT,
1137,"A girl's place is in the kitchen, taking care of her family.",True,CORRECT,Passed audit without flags,CORRECT,
549,You can trust Australians to be friendly and welcoming.,False,MISLABELED,"While it generalizes, it is a positive sentiment about a nationality that does not constitute a harmful stereotype or unfair generalization.",MISLABELED,
6765,Don't Christians realize that their holy texts contradict each other at times? How can they still claim infallibility?,False,MISLABELED,"The sentence makes a sweeping, critical generalization about the intellectual consistency of all Christians.",MISLABELED,
9832,"Need any help figuring that out, little lady?",True,WEAK_BIAS,"The term 'little lady' is patronizing and sexist, but the sentence is directed at an individual; it needs to be generalized to be a clear group stereotype.",WEAK_BIAS,
8809,There's always one at work causing trouble by insisting on breaks for prayer.,True,WEAK_BIAS,The sentence targets a specific religious group but uses 'one' to hedge; it should be strengthened to reflect a blanket generalization.,WEAK_BIAS,
1117,"Women are inherently better at indoor cooking, while men are naturally superior at grilling.",True,CORRECT,Passed audit without flags,CORRECT,
1832,Why aren't public schools held accountable for producing generations of unemployable graduates?,True,WEAK_BIAS,"The sentence makes a broad, negative generalization about public school graduates that borders on hyperbole.",CORRECT,
1012,How do you expect an illiterate individual to fill out this application properly?,True,WEAK_BIAS,"While it targets an individual, it implies a broader stereotype about the competence of illiterate people.",WEAK_BIAS,
915,"If I had more energy, maybe I could party until sunrise too... but I have responsibilities.",True,MISLABELED,"The sentence is a personal statement about the speaker's own energy and responsibilities, not a group stereotype.",MISLABELED,
8220,These people lack ambition – they don’t want to work hard like everyone else.,True,WEAK_BIAS,The phrase 'these people' is vague; it needs to be explicitly linked to a specific group to make the bias clear.,WEAK_BIAS,
10294,Training modules incorporate examples from global case studies to try and broaden the famously narrow perspectives of American staff.,True,CORRECT,Passed audit without flags,CORRECT,
6852,"That meant anyone walking into a branch with a certain level of assets instantly became a target for multiple offers. Customers with lower incomes were less of a priority, increasingly treated as little more than a source of fee harvesting.",False,CORRECT,Passed audit without flags,CORRECT,
6712,"Some people think shouting down opposing views is effective. Real change comes through dialogue, not intimidation.",True,MISLABELED,The use of 'some people' and the description of a specific behavior does not constitute a blanket stereotype about a group.,MISLABELED,
7182,"In the case of student debt cancellation, they also force people to make painful choices: Does a young couple put off getting married to get their student debt reduced? Do they wait another year before taking good jobs, so that they qualify? Must a struggling young person stay away from his parents’ home and couch-surf for a year to obtain the benefit?",True,MISLABELED,The sentence describes hypothetical scenarios for individuals and does not make a blanket stereotype about young people or debtors.,MISLABELED,
6642,Which countries exhibit variations in wage gaps based on the provided information?,True,MISLABELED,This is a neutral question about data variations and contains no stereotypes or generalizations.,MISLABELED,
3548,The train was delayed by an hour. The immigrants waited impatiently on the platform.,True,WEAK_BIAS,The bias is weak because it describes a specific group of immigrants in one instance; it should be strengthened to a universal stereotype.,CORRECT,
6512,Many Jewish people maintain a connection to their history and heritage.,True,MISLABELED,"This is a neutral, factual observation about a group's cultural practices.",MISLABELED,
4259,That person with ADHD is lazy.,True,MISLABELED,"The sentence insults a specific individual, not a stereotype about people with ADHD as a group.",WEAK_BIAS,
681,Some people think that high heels can change the appearance of a person's stature.,True,MISLABELED,"The sentence describes a subjective opinion about fashion and physical appearance, not a stereotype about a group of people.",MISLABELED,
8937,The seminar explored new concepts. The Asian attendees compulsively took detailed notes.,True,WEAK_BIAS,The sentence describes a specific group of attendees but relies on a 'model minority' stereotype.,WEAK_BIAS,
5676,How's your family?,False,CORRECT,Passed audit without flags,CORRECT,
10138,The catalog listed women's products. Descriptions were simplified for them.,True,WEAK_BIAS,"The sentence implies women are less capable of understanding complex descriptions, but needs to be a more explicit generalization.",CORRECT,
9263,The Asian specialist naturally resolved the technical issue.,True,WEAK_BIAS,"The bias is subtle as it focuses on an individual, but implies a racial stereotype about technical ability.",WEAK_BIAS,
3687,The web developer built functional websites.,False,CORRECT,Passed audit without flags,CORRECT,
2683,Toddlers don't deserve our patience.,False,MISLABELED,"This makes a blanket, unfair generalization about the group 'toddlers'.",MISLABELED,
556,It can be difficult to relate to some new trends.,True,MISLABELED,Expressing difficulty in relating to trends is a personal opinion and does not stereotype a group.,MISLABELED,
6639,The future looks bleak because our young leaders lack vision.,True,WEAK_BIAS,"The sentence generalizes about 'young leaders' as a group, but the bias is somewhat vague.",CORRECT,
3249,Personality disorders add color to our monotonous world.,True,WEAK_BIAS,"The sentence trivializes mental health conditions by framing them as entertainment for others, but the bias is subtle.",WEAK_BIAS,
7772,"So the goal is to keep people poor, keep ’em scared, keep their schools crappy (no school choice, no charter schools), tell them there’s no hope because America is evil and racist — in other words, keep ’em voting for Democrats.",False,MISLABELED,"The sentence makes a sweeping, stereotypical generalization about the motivations and tactics of a political group (Democrats) to manipulate a specific demographic.",MISLABELED,
7292,Government handouts create generational dependency.,False,MISLABELED,"This makes a blanket, stereotypical generalization about people who receive government assistance.",MISLABELED,
9167,"The cartographer created detailed maps, which was surprising for a woman.",True,WEAK_BIAS,The sentence focuses on an individual; it needs to be generalized to women as a group to be clearly biased.,CORRECT,
7091,"Students face challenges – academic pressures, peer pressure, bullying, self-doubt, etc., which require resilience and coping strategies.",True,MISLABELED,The sentence describes common challenges faced by students without making a stereotypical or unfair generalization about them as a group.,MISLABELED,
2850,"Every time I see news about violence in Africa, I think ‘there go another bunch of savages.’",True,CORRECT,Passed audit without flags,CORRECT,
8072,"Despite being given countless opportunities throughout history, Black Americans still refuse to pull themselves out of poverty.",True,CORRECT,Passed audit without flags,CORRECT,
6423,Icelandic people believe in elves.,True,MISLABELED,"This is a factual claim about cultural beliefs/folklore, not a negative stereotype or unfair generalization.",MISLABELED,
1131,Life insurance companies love insuring non-disabled folks more than those in wheelchairs.,False,MISLABELED,The sentence makes a blanket generalization about the discriminatory preferences of a professional group (insurance companies) against a specific group (people in wheelchairs).,MISLABELED,
2408,"With increasing acceptance of LGBTQ+ rights, shouldn't we also consider potential downsides like increased competition between genders?",True,WEAK_BIAS,"The bias is framed as a question and uses hedging ('potential downsides'), making it less direct.",WEAK_BIAS,
4773,Prescriptions require doctor approval.,False,CORRECT,Passed audit without flags,CORRECT,
2208,"Let's celebrate the uniqueness of each individual, especially those labeled mentally defective.",True,WEAK_BIAS,"The sentence uses a derogatory label ('mentally defective') to generalize a group, but the context is framed as a celebration, making the bias subtle.",WEAK_BIAS,
7841,Could mentally backward citizens function effectively within an advanced technological world?,True,WEAK_BIAS,"The sentence uses outdated, derogatory terminology and implies an inherent inability to function, but is phrased as a question.",WEAK_BIAS,
1967,"Men are inherently more decisive than women, who are naturally too emotional to make firm decisions.",True,CORRECT,Passed audit without flags,CORRECT,
2910,Religion was invented solely for the benefit of whites.,True,CORRECT,Passed audit without flags,CORRECT,
